English,Polish,Spanish
pvc,PVC,cloruro de polivinilo
coppola,Coppola,coppola
cots,Cots,cuna
tetra,Tetra,tetra
diggity,kopa,inseguridad
uplift,podnieść,edificación
nosferatu,Nosferatu,Nosferatu
birk,Birk,birrete
drudgery,mordęga,trabajo penoso
mooring,cumowanie,amarradero
arcee,Arcee,Arcee
halford,Halford,Halford
shira,Shira,shira
howto,jak,cómo
condé,Condé,condé
unassuming,niepozorny,modesto
embarassed,zawstydzony,avergonzado
saira,Saira,saira
fostering,Wspieranie,Fomentando
kamiya,Kamiya,kamiya
womenfolk,kobiety,las mujeres
skewed,przechylony,sesgado
itis,to jest,es
domine,domina,dominante
refineries,Rafinerie,refinerías
unaccompanied,bez towarzystwa,no acompañado
teats,strzyki,pezones
felling,wyrąb,tala
wallflower,lak,alhelí
yvon,Yvon,yvón
stilettos,sztylet,tacones de aguja
arert,Arert,arre
0r,0R,0R
veritas,Veritas,veritas
els,Els,els
sorrier,Sorrier,más vero
hawker,domokrążca,vendedor ambulante
rationed,kartkowy,racionado
biscayne,Biscayne,biscayne
s--he,ona,ella
follicles,mieszki pęcherzyki,folículos
infarction,zawał,infarto
kyla,Kyla,Kyla
reverted,powrócił,revertido
bullcrap,Bullcrap,bulladros
donato,Donato,donato
partnering,partnerstwo,asociación
inputs,Wejścia,entradas
rajat,Rajat,Rajat
sustainability,zrównoważony rozwój,sostenibilidad
70-year-old,70-latek,De 70 años
janssen,Janssen,Janssen
apnea,bezdech,apnea
caca,Kaca,caca
stealin,kradzież,robuste
flanking,Flanking,flanqueante
talking-,rozmawiając-,hablando-
chidori,Chidori,chidori
wahey,Wahey,wahey
disraeli,Disraeli,disraelí
pasts,przeszłość,pasado
chuji,Chuji,chuji
edi,Edi,EDI
inversion,Inwersja,inversión
entrap,usidlić,entrampar
omicron,Omicron,ómicrón
submissions,Zgłoszenia,presentaciones
yancey,Yancey,yancey
anasazi,Anasazi,anasazi
cassadee,Cassadee,castaño
primus,prymus,hornillo de camping
epcot,epcot,epcot
hiroyuki,Hiroyuki,Hiroyuki
tunneling,tunelowanie,túnel
tase,Tase,tase
rotc,ROTC,ROTC
crafting,Crafting,manejo
scalded,Pained,escaldado
dasha,Dasha,dasha
khomeini,Chomeini,jóntano
tattle,gawędzić,chismes
hershel,Hershel,Hershel
sold-out,wyprzedane,agotado
premarital,przedmałżeński,premarital
talkies,filmy dźwiękowe,cine sonoro
harnesses,uprzęże,arneses
preparatory,przygotowawczy,preparatorio
jokin,Jokin,brillo
ashland,Ashland,Ashland
antidepressant,przeciwdepresyjny,antidepresivo
mañana,Mañana,madana
panchayat,Panchayat,panchayat
fibula,fibula,fíbula
tabernacle,przybytek,tabernáculo
berkshire,Berkshire,berkshire
fandango,Fandango,fandango
haman,Haman,Hamán
fiddlesticks,Fiddlesticks,fiddlesticks
unmitigated,prawdziwy,no mitigado
thousandth,tysięczny,milésimo
kakashi,Kakashi,kakashi
blackguard,łajdak,canalla
quinceañera,Quinceañera,quinceañera
kens,Kens,kens
labeling,etykietowanie,etiquetado
remade,przerobić,rehecho
miney,mój,mina
liaisons,Liaisons,enlaces
gilt,pozłacany,dorado
guatemalan,Gwatemalan,guatemalteco
perturbed,zaniepokojony,perturbado
side-effects,skutki uboczne,efectos secundarios
varnæs,varnæs,varnæs
peace-loving,Kochanie pokoju,amante de la paz
shuji,Shuji,shuji
mandalay,Mandalay,mandalay
k2,K2,K2
hot-dog,Hot-pies,Hot dog
erick,Erick,órgico
knowest,Knowest,conocido
59th,59,59
scruff,kark,nuca
conversationalist,konwersacjonista,conversador
epifanio,Epifanio,epifanio
ursa,Ursa,Ursa
commemoration,uczczenie pamięci,conmemoración
ronni,Ronni,ronni
enforcers,Egzekwatorzy,ejecutores
kusum,Kusum,kusum
killemoff,Killemoff,killemoff
omoi,Omoi,Omoi
benitez,Benitez,Benítez
half-man,Half-Man,medio hombre
motorists,kierowcy,automovilista
ricin,Ricin,ricina
timor,Timor,timor
affords,daje,a los valores
m.c.,M.C.,M.C.
blankie,Blankie,blashie
stewing,Dusting,guisante
gargantuan,olbrzymi,gigantesco
plo,PLO,OLP
estimating,doceniający,estimación
sociopaths,Socjopaci,sociópatas
comtesse,comtesse,alteza
practitioners,praktycy,practicantes
deductive,dedukcyjny,deductivo
perignon,Perignon,perignón
fou,Fou,fútbol
nodame,Nodame,nombre de cabeza
wussy,Wussy,cobarde
pavarotti,Pavarotti,pavarotti
kyo,Kyo,kyo
wilberforce,Wilberforce,Wilberforce
hunky-dory,Hunky-Dory,Dory de Hunky
statuette,statuetka,estatuilla
dryden,Dryden,seca
tiptoeing,Tiptoe,tía de puntillas
qureshi,Qureshi,qureshi
concoct,wymyślać,confeccionar
kino,Kino,kino
celal,celal,celal
outboard,zaburt,fuera de borda
decibels,decybele,decibelios
expeditionary,ekspedycyjny,expedicionario
dagwood,Dagwood,dagwood
renter,lokator,inquilino
interceptors,przechwytywacze,interceptores
ubiquitous,wszechobecny,ubicuo
mafioso,mafioso,mafioso
nazism,nazizm,nazismo
triplicate,tryplikat,triplicado
prenuptial,Prenambia,prenupcial
mescaline,meskalina,mescalina
cornering,zakręcie,enrutamiento
skidded,poślizg,patinada
eriko,Eriko,Eriko
murli,Murli,Murli
lionesses,Lionessy,leonas
quatermass,Quatermass,quatrass
tn,Tn,Tennesse
baer,Baer,Baer
open-air,Otwarte powietrze,Aire libre
gretzky,Gretzky,Gretzky
seonjun,Seonjun,seonjun
ranjeet,Ranjeet,ranjeet
marcelino,Marcelino,marcelino
kew,Kew,kew
shh-shh,shh-shh,shh-shh
tallis,Tallis,tallis
raton,Raton,ratón
notte,notte,noble
done-,zrobione-,hecho-
caseworker,opiekun społeczny,el asistente social
dismember,rozczłonkować,desmembrar
nicodemus,Nikodem,nicódemo
matsudaira,Matsudaira,matsudaira
piloted,pilotowane,pilotado
vacuumed,odkurzone,aspirada
arouses,budzi,excitación
honeybee,pszczoła miodna,honeybee
assunta,Assunta,assunta
four-leaf,czterolistna,cuatro hojas
eugen,Eugen,eugen
wands,różdżki,varitas
barroom,Barria,bar
torturous,tortulny,tortuoso
turpin,Turpin,turpina
grandview,Grandview,grandview
y2k,Y2K,Y2K
loreen,Loreen,terreno
cinders,Cinders,cenizas
ahora,Ahora,Ahora
prolonging,przedłużanie,prolongado
breast-feed,karmić piersią,amamantar
50p,50p,50p
santorini,Santorini,Santorini
blogging,blogowanie,blogging
huan,Huan,huan
spongy,gąbczasty,esponjoso
deckard,Deckard,chorro
whoa-oa,whoa-oa,WHOA-OA
paracetamol,Paracetamol,paracetamol
embellished,upiększone,adornado
wukong,Wukong,wukong
inserts,wkładki,insertos
chucho,Chucho,chucho
well-rounded,dobrze zaokrąglony,bien rodado
stoppin,stoppin,parada
muslin,muślin,muselina
fealty,Fealty,fidelidad
branko,Branko,branko
tartars,Tartary,tártaros
timson,Timson,Timson
naik,Naik,naik
slated,zaplanowany,programado
hardwired,Hardwided,cableado
round-trip,podróż w obie strony,ida y vuelta
changeable,zmienny,cambiable
beene,Bee,beato
creamer,wirówka,desnatadora
inman,w człowieku,en hombre
sodomized,Sodomizowany,sodomizado
saleswoman,sprzedawczyni,vendedora
cronkite,Cronkite,cronkita
flayed,Flayed,desaprobado
rna,RNA,ARN
mitchie,Mitchie,mitchie
punchline,linijka,línea final
yourself-,się-,tú mismo-
ianto,ianto,Ianto
mitra,Mitra,mitra
pales,Pleci,palmadita
pucks,krążki,bache
auerbach,Auerbach,auerbach
taxman,Podatnik,hombre de taxis
physio,fizjoterapia,fisioterapeuta
fertiliser,nawóz,fertilizante
fela,Fela,Felas
semifinal,półfinał,semifinal
chin-chin,Chin-Chin,chin-chin
infuse,zaparzać,infundir
kuei,Kuei,kuei
semi-automatic,półautomatyczny,semiautomático
dashwood,Dashwood,madera dura
isamu,Isamu,isamu
wid,wid,ancho
bangor,Bangor,bangor
brioche,Brioche,Panecillo
contradicted,zaprzeczono,contradicto
contingencies,nieprzewidziane sytuacje,contingencias
gianna,Gianna,gianna
tates,Tates,tates
aishwarya,Aishwarya,Aishwarya
maximum-security,maksymalne bezpieczeństwo,máxima seguridad
grift,Grift,sere de ramilla
sufferers,osoby cierpiące,que sufre
nutters,Nuttery,nueces
vamonos,Vamonos,vamonos
squids,Kałamarnice,calamares
tarr,Tarr,tarrita
mastectomy,usunięcie piersi,mastectomía
sharia,szariat,la sharia
velasco,Velasco,velasco
emf,emf,femenina
emmys,Emmys,Emmys
voir,Voir,voir
shut-in,zamknąć,encerrar
britten,Britten,escrutan
averaging,uśrednianie,promedio
petticoats,płeć żeńska,enaguas
tas,Tas,TAS
archetype,archetyp,arquetipo
wordplay,gra słów,juego de palabras
heckle,nękać kłopotliwymi pytaniami,interrumpir a un orador
yousef,Yousef,Yousef
mitsu,Mitsu,mitsu
copious,rzęsisty,copioso
brodsky,Brodsky,brodsky
gto,GTO,GTO
fervently,gorąco,fervorosamente
gazelles,Gazelle,gacelas
ricocheting,rykoszetowanie,rebote
somersaults,Somersaults,mortal
sania,Sania,Sania
honouring,Honorowanie,honor
jessa,Jessa,Jessa
anatolia,Anatolia,anatolia
baptise,Chrzcicie,bautismo
bock,Bock,bock
dandelions,Dandeliony,diente de león
slav,słowiański,eslavo
75th,75,75
medallions,Medaliony,medallones
skirmishes,potyczki,escaramuzas
snowmen,bałwan,muñecos de nieve
hamlin,Hamlin,hamlin
skiers,narciarze,esquiadores
woolsey,Woolsey,Woolsey
oscillating,oscylacja,oscilante
courageously,odważnie,valientemente
breadsticks,Creaksticks,palitos de pan
lata,Lata,lata
blacken,oczerniać,ennegrecer
highschool,Liceum,escuela secundaria
bernd,Bernd,Bernd
doritos,Doritos,doritos
nighlok,Nighlok,nighlok
maharaj,Maharaj,Maharaj
ingeborg,Ingeborg,ingobor
creepier,bardziej przerażający,espeluznante
roomies,współlokatorzy,compañeros de cuarto
diversions,dywersje,diversiones
emmeline,Emmeline,Emmeline
gung-ho,Gung-ho,chupón
pitiable,żałosny,lamentable
steffi,Steffi,Steffi
traynor,Traynor,traynor
puritans,purytanie,puritanos
rattler,grzechotnik,serpiente de cascabel
olof,olof,Olof
taguchi,Taguchi,taguchi
rivalries,rywalizacja,rivalidades
courtland,Courtland,patrón
yolks,żółtka,yemas
resupply,Rezultat,reabastecer
wadi,wyschnięte koryto rzeki,cauce
appropriated,przywłaszczone,apropiado
lanny,Lanny,lanny
mikage,Mikage,mikage
pollux,Pollux,Pólux
nandi,Nandi,nandi
encyclopaedia,encyklopedia,enciclopedia
writin,Writin,escrito
frοm,FRocy,de
deep-seated,głęboko zakorzenione,arraigado
twelvetrees,Twelvetrees,de doce años
glandular,gruczołowy,glandular
faun,faun,fauno
predisposed,predysponowany,predispuesto
satyr,satyr,sátiro
celluloid,celuloid,celuloide
divatox,Divatox,divatox
spazer,Spazer,aspirante
burgos,Burgos,Burgos
mertz,Mertz,mertz
miniscule,niewielkie,minúsculo
no.no,nie? Nie,no no
afghani,Afghani,afgano
lindley,Lindley,Lindley
philomena,Philomena,filomena
longstreet,Longstreet,calle Larga
salas,Salas,salas
bellyache,ból brzucha,dolor de vientre
adair,Adair,Adair
30-second,30 sekund,30 segundos
punked,Punked,punkado
v,v,V
hollered,Kollety,gritado
hombres,HOMBRES,hombras
structurally,formalnie,estructuralmente
hoodoo,człowiek przynoszący pecha,vudú
defeatist,defetysta,derrotista
shuck,łuska,vaina
maharashtra,Maharashtra,Maharashtra
anderton,Anderton,Anderton
flowerpot,doniczka,maceta
shinsuke,Shinsuke,shinsuke
xx,xx,xx
isso,ISSO,ISSO
groundwater,Wody gruntowe,agua subterránea
barden,Barden,barden
toei,Toei,toei
waterbed,pod wodą,cama de agua
haywood,Haywood,heno
youself,sam,tú mismo
primitives,Prymitywy,primitivos
ivanhoe,Ivanhoe,ivanhoe
cardamom,kardamon,cardamomo
tradesmen,handlowcy,comerciantes
angled,pod kątem,angular
navcom,Navcom,navegación
postmarked,Zamorowany,estatoso
sorry,Przepraszam,Lo siento
suwa,Suwa,suwa
boel,Boel,boel
irradiated,napromieniowane,irradiado
mannion,Mannion,mannion
uchi,Uchi,Uchi
bigots,bigot,fanáticos
abhorrent,odrażający,aborrecible
reiden,Reiden,reiden
dinged,dinged,aturdido
hovers,unosi,ronda
fingerprinted,odcisk palca,huellas dactilares
davison,Davison,Davison
urethra,cewka moczowa,uretra
beal,Beal,beal
blu-ray,Blu-ray,blu-ray
turrets,wieżyczki,torrets
bhuvan,Bhuvan,bhuvan
abuelita,abuelita,abuelita
cujo,Cujo,cujo
skwisgaar,Skwisgaar,skwisgaar
enviable,godny pozazdroszczenia,envidiable
rs.5,Rs.5,Rs.5
proximal,proksymalne,proximal
restrictive,ograniczający,restrictivo
chickening,Kurnowanie,caminata
hollowed,puste,ahuecado
bankrupted,zbankrutowane,en bancar
lyekka,Lyekka,Lyekka
bau,Bau,bau
mcclintock,McClintock,McClintock
chuan,Chuan,chuan
beefs,wołowiny,carne de res
schmucks,Schmucks,schmucks
encircle,otaczać,rodear
birthed,narodzony,nacido
unrestricted,nieograniczony,irrestricto
back,z powrotem,atrás
hοw,HοW,Hong
colluding,zmowy,coludido
destabilize,destabilizują,desestabilizar
vittles,Vittles,Vittles
rebs,Rebs,rebos
reclamation,regeneracja,recuperación
kiefer,Kiefer,kiefer
throb,pulsować,palpitar
tamale,Tamale,tamale
transformative,transformacyjny,transformador
nardo,Nardo,nardo
berlusconi,Berlusconi,Berlusconi
molesters,molestujący,abusador
bris,Bris,bris
smorgasbord,Smorgasbord,smorgasbord
coveralls,Połączenia,overso
hotspot,Hotspot,punto de acceso
frack,Szkarł,frack
ramji,Ramji,ramji
ico,i co,ICO
amedeo,Amedeo,amedeo
lightened,oświetlone,aligerado
laboring,pracujący,obrero
unisex,dla obu płci,unisexo
half-life,pół życia,media vida
kawai,Kawai,kawai
happened-,stało się-,sucedió-
rus,Rus,rus
crevices,szczeliny,grietas
unbelievers,niewierzący,incrédulos
borges,Borges,borges
bluebirds,Bluebirds,pájaros azules
cock-up,kogut-up,polla
fearlessly,Nieustraszenie,sin miedo
deflated,spuszczone,desinflado
bans,zakaz,prohibir
sabers,szable,sables
sotto,Sotto,sotto
merrin,Merrin,merrina
disproportionate,nieproporcjonalny,desproporcionado
kolia,Kolia,Kolia
traviata,Traviata,traviata
schulz,Schulz,schulz
lindstrom,Lindstrom,Lindstrom
coraline,Koralina,coralina
morgen,Morgen,moreno
ionic,joński,iónico
wellingtons,kalosze,botas de goma
gujarat,Gujarat,gujarat
43rd,43,43º
moley,Moley,moley
speedometer,prędkościomierz,velocímetro
prodding,szturchanie,empuje
l-l-i,L-L-i,L-L-I
beep-beep,sygnał dźwiękowy,pitido
lausanne,Lozanna,Lausana
fertilizers,nawozy,fertilizantes
termed,nazywane,denominado
botch,partanina,chapucear
bimba,Bimba,bimba
frustrate,paraliżować,frustrar
salomon,łosoś,salomón
headhunter,Łowca głów,cazador
tingles,mrowienie,hormigueo
dhoti,Dhoti,dhoti
hallgrim,Hallgrim,pasillo
wastin,Wastin,desastre
spry,żwawy,ágil
sontag,Sontag,sontag
sprinter,sprinter,velocista
cypher,szyfrować,cifrar
droughts,Sudy,sequías
philanthropic,filantropijny,filantrópico
discos,dyskoteki,discotecos
sweetened,osłodzony,endulzado
snobbish,snobistyczny,snob
story-,fabuła-,historia-
invitational,Invitational,invitación
hanzawa,Hanzawa,Hanzawa
abysmal,bezdenny,abismal
dauntless,nieustraszony,intrépido
scala,Scala,escala
antigua,Antigua,antigua
fra,fra,FRA
appu,Appu,appu
ousted,wyparte,expulsado
otsu,Otsu,OTSU
hauls,Huls,lanar
batted,uderzony,bateado
gitmo,Gitmo,gitmo
spotters,Spoters,observadores
ashita,Ashita,ashita
face-off,kontakt,enfrentamiento
finches,zięby,pinzones
asphyxiated,Udusza,asfixiado
hoochie,Hoochie,hoochie
heighten,podnieść,aumentar
bookstores,księgarnie,librerías
hoke,Hoke,hoke
hutchins,Hutchins,Hutchins
allocate,przeznaczyć,asignar
gulch,kanion,barranco
sama,SAMA,sama
fanaticism,fanatyzm,fanatismo
sportsmen,sportowcy,deportistas
lmagine,lmagine,lmagina
eminently,wybitnie,eminentemente
wimsey,Wimsey,Wimsey
bohm,Bohm,bohm
niño,Niño,niño
martinelli,Martinelli,martinelli
aesthetically,estetycznie,estéticamente
bahrain,Bahrajn,bahrain
triumphantly,triumfalnie,triunfantemente
kmart,Kmart,kmart
pocus,POCUS,poco
thunderzord,Thunderzord,trueno
antler,łopata,cuerno
ashcroft,Ashcroft,ashcroft
amygdala,migdał,amígdala
self-explanatory,Eksplanatoryjne,Autoexplicativo
shames,zawstydzić,choque
thrall,niewolnik,esclavo
homophobe,homofob,homófobo
gisaeng,Gisaeng,gisaeng
dubaku,Dubaku,dubaku
corsets,gorsety,corsés
ringmaster,aranżer programu cyrkowego,jefe de pista
sainted,święte,santo
purebred,czystej krwi,de pura raza
vivacious,żywy,vivaz
hopi,Hopi,hopi
gabriele,Gabriele,Gabriele
dirtied,brud,sucio
kettering,Kettering,kettering
nears,zbliża się,cerca
maskell,Maskell,enmascarar
pillsbury,Pillsbury,Pillsbury
farmhand,parobek,labriego
smallhausen,Smallhausen,sencillo
cicada,cykada,cigarra
goad,bodziec,aguijón
deign,raczyć,dignarse
lisi,Lisi,lisi
chels,Chels,cárcel
canter,cwał,medio galope
kuya,Kuya,kuya
third-world,trzeci Świat,tercer Mundo
ryung,Ryung,ryung
impostors,Impostorzy,impostor
half-dozen,pół tuzina,media docena
maruyama,Maruyama,maruyama
gymnasts,gimnastycy,gimnastas
brokenhearted,ze złamanym sercem,con el corazón roto
da-da-da-da,da-da-da-da,da-da-da
hip-hip,hip,hip hip
sods,darnia,césped
ghee,ghee,ghee
enquirer,Enquirer,enquirador
erred,popełnił błąd,errado
varmints,Varmints,aviones
clutched,Zgnianie,aturdido
swishing,Swijowanie,rojizo
puller,wioślarz,arrancador
sleazebag,Sleazebag,sreazbag
petechial,Petechial,péquico
carisi,Carisi,carisi
spluttering,Rozklep,chisporroteo
vesta,Vesta,vesta
aggrieved,poszkodowany,agraviado
ericsson,Ericsson,Ericsson
maa,Maa,Maa
minnelli,Minnelli,Minnelli
malika,Malika,malika
redder,Redder,más rojo
tarsus,stęp,tarso
mustered,zebrane,reunido
dena,Dena,dena
maliciously,zjadliwie,con malevolencia
slugging,wulgar,palo
solaris,Solaris,solaris
undid,rozpad,desabrochar
beba,BEBA,beba
rounder,okrągły,redondo
whereupon,po czym,después de lo cual
jocko,Jocko,drogado
kaur,Kaur,kaur
guardsmen,Strażnicy,guardias
tyree,Tyree,Tyree
luci,Luci,luci
suen,Suen,suena
flintstones,Flintstones,piedras de los pañales
sonali,Sonali,Sonali
sg,sg,sg
glaser,Glaser,glaser
warbler,gajówka,curruca
perplexing,kłopotliwy,confuso
snicker,chichot,risa disimulada
hand-held,ręcznie,Mano
chocolate-covered,Pokryty czekoladą,cubierto de chocolate
dandi,Dandi,dandi
t.p.,T.P.,T.P.
boyka,Boyka,niño
trigonometry,trygonometria,trigonometría
qb,QB,QB
deary,Drogi,querido
gynaecologist,ginekolog,ginecólogo
counsellors,doradcy,consejeros
mussel,omułek,mejillón
edvard,Edvard,edvard
outshine,zaćmić,eclipsar
chaim,Chaim,chaim
keefer,Keefer,keefer
galvan,Galvan,galván
pylons,pylons,pilones
gowron,Gowron,gowron
ransome,Ransome,ranso
karpov,Karpov,karpov
truncheon,buława,cachiporra
strata,warstwa,Estratos
devising,opracowanie,ideal
long-winded,Długie,prolijo
`t,`t,`T
headlock,kłód,llave en la cabeza
unlawfully,bezprawnie,ilegalmente
sucre,Sucre,sucre
tanking,tankowanie,manipulación
coyopa,coyopa,coyopa
jeannine,Jeannine,jeannine
three-point,trzy punkty,tres puntos
armband,opaska,brazalete
two,dwa,dos
shitstorm,Shitstorm,tormenta de mierda
favela,favela,favela
tightens,zacieśnia,tensar
tol,Tol,tol
mayu,Mayu,mayu
eclipsed,przyćmione,eclipsado
cmdr.,cmdr.,cmdr.
walid,Walid,Walid
extricate,wydobyć,librar
epilogue,epilog,epílogo
oscar-winning,zwycięski Oscara,ganador de un Oscar
campaigned,kampania,campaña
abusers,sprawcy,abusadores
soco,Soco,SOCO
caustic,żrący,cáustico
chatur,Chatur,chaturga
gbs,GBS,GBS
geysers,gejzery,géiseros
yoriko,Yoriko,Yoriko
amazonian,Amazonian,amazónico
marceline,Marceline,marcelín
o.b.,O.B.,transmisión exterior.
step-mother,macocha,madrastra
totality,całość,totalidad
lk,Lk,lk
reuniting,Ponowne połączenie,reencuentro
gliders,szybowce,planeador
saget,Saget,saget
taverns,tawerny,tabernas
quanzhen,Quanzhen,quanzhen
methodically,metodycznie,metódicamente
shiba,Shiba,shiba
blah-blah-blah,Blah-Blah-Blah,"bla, bla, bla"
oyku,Oyku,oyku
fractal,fraktal,fractal
walkout,wyjść,salir
seafaring,żeglarstwo,marinero
fearfully,ze strachem,con miedo
surest,najprawdopodobniej,más seguro
mosquitos,Komary,mosquitos
proficiency,biegłość,competencia
chieftains,wodza,jefes
work-up,praca,transferencia
mizoguchi,Mizoguchi,mizoguchi
pecked,Pecked,picotón
fraid,Fraid,engaño
resection,resekcja,resección
fibbing,fibbing,peroneo
pitch-black,Czutle,negro
boomhauer,Boomhauer,boomhauer
confiding,zwierząt,confisante
navigators,nawigatorzy,navegantes
kagan,Kagan,kagan
steeper,Poszukiwanie,más empinado
rada,Rada,Rada
gouging,żłobienie,relevo
tts,TTS,TTS
cystic,torbielowaty,cístico
nape,kark,nuca
torrential,ulewny,torrencial
landmines,Miny,minas terrestres
hunker,Hunker,agachar
surefire,pewne,seguro
jenga,Jenga,jenga
oversees,nadzoruje,supervisión
musta,Musta,mostaza
håkan,Håkan,hábil
marketed,sprzedawane,comercializado
kriss,Kriss,kriss
sudha,sudha,Sudha
boers,Burowie,boers
tallulah,Tallulah,tallulah
diagonally,po przekątnej,diagonalmente
all-day,cały dzień,todo el dia
incomes,dochody,ingresos
rasheed,Rasheed,estacada
yayoi,Yayoi,yayoi
asterisk,gwiazdka,asterisco
ifthere,jezeli tam,sí hay
s-a,S-A,S-A
soni,Soni,soni
thrt,thrt,thrt
kursk,Kursk,kursk
managerial,kierowniczy,gerencial
hemmed,osaczony,dobladillo
phased,stopniowo,calentado
yurt,Jurt,yurta
vexing,dokuczliwy,irregular
jolbon,Jolbon,jolbón
peron,Peron,perón
d.u.i.,D.U.I.,D.U.I.
strigoi,strigoi,strigoi
passkey,klucz uniwersalny,llave maestra
silos,Silosy,silos
washers,podkładki,arandelas
sooo,Sooo,muuuy
gonnae,Będę,irá
oxymoron,oksymoron,oxímoron
facilitated,ułatwione,facilitado
manos,Manos,manos
brainchild,pomysł,precipilar
sitcoms,Sitcoms,comedias de situación
thunderclaps,Grzmot,truenos
sleepwalk,lunatykować,ser sonámbulo
zeeland,Zeeland,Zeelandia
earth-like,Ziemia,tierra como
datak,Datak,datak
shanthi,Shanthi,shanthi
ecklie,Ecklie,Ecklie
schwarz,Schwarz,schwarz
colm,colm,colm
full-length,pełna długość,longitud total
dissimilar,niepodobny,disímil
sajid,Sajid,sajid
iljimae,Iljimae,iljimae
perceives,postrzegane,percibir
severus,Severus,severus
obi,OBI,obi
hand-,ręka-,mano-
tsubaki,Tsubaki,tsubaki
agnostic,agnostyk,agnóstico
chauhan,Chauhan,chauhan
harrisburg,Harrisburg,Harrisburg
loggers,rejestraty,loggers
yaks,Jaks,yaks
extremity,koniec,extremidad
e.j.,E.J.,E.J.
exoskeleton,egzoszkielet,exoesqueleto
unopposed,bez sprzeciwu,sin oposición
rumpelstiltskin,Rumpelstiltskin,piel rumpelstilts
new-found,Nowo odkryty,recién descubierto
wallenberg,Wallenberg,Wallenberg
spritzer,Spritzer,spritzer
john-john,John-John,John-John
piped,rur,con tuberías
andiamo,Andiamo,Andiamo
teary,łzy,lágrimado
self-doubt,zwątpienie w siebie,dudas
limoges,Limoges,Limoges
bodine,Bodine,Bodine
omniscient,wszechwiedzący,omnisciente
shoop,Shoop,chorro
dogfight,walka samolotów,pelea de perros
totals,sumy,total
indivisible,niepodzielny,indivisible
washcloth,Washcloth,tapa
uriel,Uriel,uriel
scull,wiosłować,remar
chosun,Chosun,cosun
inundated,zalany,inundado
elasticity,elastyczność,elasticidad
syndicated,syndykowany,sindicado
twix,Twix,twix
jacek,Jacek,jacek
shona,Shona,shona
lif,Lif,vida
sizzler,Sizzler,chisporroteo
lenders,Pożyczkodawcy,prestamistas
cemented,cementowane,cementado
leering,Leering,abundante
leveraged,Lewarowane,apalancado
schofield,Schofield,escolta
pedantic,pedantyczny,pedante
epithelials,nabłonki,epiteliales
interacted,interakcja,interacción
recognisable,rozpoznawalny,reconocible
shallots,szalotki,chalotes
tasmania,Tasmania,Tasmania
draconian,drakoński,draconiano
bleaching,wybielanie,blanqueamiento
sefton,Sefton,Sefton
ponte,Ponte,ponte
squashing,Squashing,cola
wolfbloods,Wolfbloods,Bloods de lobo
u.f.o.,U.F.O.,OVNI.
berthier,Berthier,Berthier
cnst,Cnst,CNST
crackdown,represje,campaña
bottleneck,wąskie gardło,embotellamiento
revulsion,wstręt,repugnancia
amoeba,ameba,ameba
dostoevsky,Dostoevsky,dostoevsky
bloat,nadąć,inflar
layouts,układy,diseños
taxidermist,wypychacz,taxidermista
belen,Belen,belen
gmos,GMO,OGM
teardrops,łzy,lágrimas
two-step,Dwustopniowy,dos pasos
hubot,Hubot,Hubot
zeroed,Zero,cero
she-hulk,She-hulk,ella Hulk
quaking,trzęsienie,temblante
drina,Drina,Drina
cull,zerwać,desecho
varicose,Variacose,varicoso
kimo,Kimo,kimo
communicators,komunikatorzy,comunicadores
wowed,zachwycone,cautivado
jaco,Jaco,jaco
torrio,Torrio,torrio
snorkeling,Rurka,bucear
windbreaker,Windbreaker,viento
joshy,Joshy,joshy
droop,omdleć,inclinarse
rinko,Rinko,rinko
kawashima,Kawashima,kawashima
maudie,Maudie,maudie
imposes,narzuca,imponer
thins,Thins,tesoro
really.,Naprawdę.,en realidad.
stretchers,nosze,camilla
beckon,kiwać,llamar
ass-kicking,Kicking Ass,trasero
creasy,Zamężne,de pliegue
retaliated,zemsta,represaliado
t--don,T--Don,T-Don
octagon,ośmiokąt,octágono
bestiality,bestialstwo,bestialidad
segundo,Segundo,segundo
wrung,wyżęty,retorcido
peder,Peder,peder
pumpernickel,Pumpernickel,pan integral de centeno
prudish,pruderyjny,mojigato
pointe,Pointe,punta
earthbound,przyziemny,terrestre
son.,syn.,hijo.
zuma,Zuma,zuma
yuichi,Yuichi,Yuichi
settler,osadnik,colono
wildness,dzikość,desenfreno
problem.,problem.,problema.
ingles,Ingles,ingles
humanities,humanistyka,humanidades
sprawled,rozszerzone,extendido
schiff,Schiff,schiff
charu,Charu,charu
koba,Koba,koba
inoculation,szczepienie ochronne,inoculación
haskins,Haskins,Haskins
tepid,chłodny,tibio
paschal,paschalny,pascual
sacristy,zakrystia,sacristía
sucka,Suck,chupar
aborigines,autochtoni,aborígenes
sequels,kontynuacje,secuelas
shanked,Shanked,cangaz
jewellers,Jubilerzy,joyería
jung-woo,Jung-woo,Jung-woo
guzzle,chlać,engullir
naoto,Naoto,naoto
cvs,CVS,CVS
indomitable,nieposkromiony,indomable
pear-shaped,w kształcie gruszki,Forma de pera
centred,wyśrodkowany,centrado
half-day,połowa dnia,medio día
llc,LLC,LLC
yor,Yor,Yor
oska,Oska,oska
puto,puto,punta
panini,Panini,panini
fortuneteller,wróżka,adivino
evelyne,Evelyne,Evelyne
ub,Ub,UB
balled,Balled,con bolas
appraiser,rzeczoznawca,tasador
exerting,wywieranie,ejercicio
gimpy,Gimpy,gimpy
